,date,burn_type,burn_number,length,power,factor_before,factor_after,dead_before,dead_after,dir,result
1367,17-03-2022 14.33.28,shining-moon3,1,40.0000,5.8333,0.6856982140345943,0.8754868971786794,0.02224375,0.01,1,SUCCESS
1368,17-03-2022 14.34.32,none,2,-,-,0.8754868971786794,-,0.01,-,1,SUCCESS
1369,17-03-2022 14.59.00,shining-moon3,0,40.0000,6.0000,0.6613942514217569,0.5572998129480787,0.0252,0.021,1,SUCCESS
1370,17-03-2022 15.00.03,shining-moon3,1,40.0000,5.8333,0.5572998129480787,0.8261372422474552,0.021,0.0219,1,SUCCESS
1371,17-03-2022 15.01.08,shining-moon3,2,40.0000,5.6667,0.8261372422474552,0.8940211049507698,0.0219,0.009125,1,SUCCESS
1372,17-03-2022 15.02.12,none,3,-,-,0.8940211049507698,-,0.009125,-,1,SUCCESS
1373,17-03-2022 15.07.56,shining-moon3,0,40.0000,6.0000,0.4998990587225881,0.7878226214574898,0.00933125,0.01200625,1,SUCCESS
1374,17-03-2022 15.09.01,shining-moon3,1,40.0000,5.8333,0.7878226214574898,0.8852158579210883,0.01200625,0.0076,1,SUCCESS
1375,17-03-2022 15.10.04,none,2,-,-,0.8852158579210883,-,0.0076,-,1,SUCCESS
1376,17-03-2022 14.55.42,shining-moon3,0,40.0000,6.0000,0.5564851395667105,0.40374645878702614,0.03183125,0.0270875,-1,SUCCESS
1377,17-03-2022 14.56.45,shining-moon3,1,40.0000,5.8333,0.40374645878702614,0.36618173795681064,0.0270875,0.03680625,-1,SUCCESS
1378,17-03-2022 14.57.49,shining-moon3,2,40.0000,5.6667,0.36618173795681064,0.13198788437479422,0.03680625,0.05081875,-1,SUCCESS
1379,17-03-2022 14.58.52,none,3,-,-,0.13198788437479422,-,0.05081875,-,-1,SUCCESS
1380,17-03-2022 14.30.07,shining-moon3,0,40.0000,6.0000,0.5975851249871412,0.7420378215714817,0.02790625,0.04255,1,SUCCESS
1381,17-03-2022 14.31.10,shining-moon3,1,40.0000,5.8333,0.7420378215714817,0.8673226036831098,0.04255,0.01985625,1,SUCCESS
1382,17-03-2022 14.32.14,none,2,-,-,0.8673226036831098,-,0.01985625,-,1,SUCCESS
1383,17-03-2022 14.25.43,shining-moon3,0,40.0000,6.0000,0.6397170970918148,0.40393637202625104,0.028825,0.02480625,-1,SUCCESS
1384,17-03-2022 14.26.47,shining-moon3,1,40.0000,5.8333,0.40393637202625104,0.3590048849923975,0.02480625,0.0340375,-1,SUCCESS
1385,17-03-2022 14.27.50,shining-moon3,2,40.0000,5.6667,0.3590048849923975,0.2479434711423098,0.0340375,0.057125,-1,SUCCESS
1386,17-03-2022 14.28.55,shining-moon3,3,40.0000,5.5000,0.2479434711423098,0.11870895752103428,0.057125,0.02540625,-1,SUCCESS
1387,17-03-2022 14.29.59,none,4,-,-,0.11870895752103428,-,0.02540625,-,-1,SUCCESS
1388,17-03-2022 15.10.12,pixel-burn4,0,50.0000,6.2500,0.9044915826190071,0.7873653846153846,0.009125,0.02500625,-1,SUCCESS
1389,17-03-2022 15.11.15,shining-moon3,1,40.0000,5.8333,0.7873653846153846,0.6709548350339255,0.02500625,0.03465625,-1,SUCCESS
1390,17-03-2022 15.12.19,shining-moon3,2,40.0000,5.6667,0.6709548350339255,0.5781620023288979,0.03465625,0.04461875,-1,SUCCESS
1391,17-03-2022 15.13.22,shining-moon3,3,40.0000,5.5000,0.5781620023288979,0.48365974785048066,0.04461875,0.0397625,-1,SUCCESS
1392,17-03-2022 15.14.26,shining-moon3,4,40.0000,5.3333,0.48365974785048066,0.4337162210477732,0.0397625,0.0385625,-1,SUCCESS
1393,17-03-2022 15.15.31,shining-moon3,5,40.0000,5.1667,0.4337162210477732,0.2576363387318753,0.0385625,0.0418,-1,SUCCESS
1394,17-03-2022 15.16.34,shining-moon3,6,40.0000,5.0000,0.2576363387318753,0.19471979448803506,0.0418,0.10468125,-1,SUCCESS
1395,17-03-2022 15.17.38,shining-moon3,7,40.0000,4.8333,0.19471979448803506,0.18008017982527286,0.10468125,0.1908875,-1,SUCCESS
1396,17-03-2022 15.18.42,shining-moon3,8,40.0000,4.6667,0.18008017982527286,0.11845222983836845,0.1908875,0.11373125,-1,SUCCESS
1397,17-03-2022 15.19.45,none,9,-,-,0.11845222983836845,-,0.11373125,-,-1,SUCCESS
